context_length,depth,total_token,top_k,config_label,mode,model,eagle_model,prompt,num_tokens,num_steps,wall_ms,tok_per_sec,mean_accepted_per_step,acceptance_rate,mean_verify_ms,verify_fraction
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,25,1903.2,82.0,6.24,0.2013,53.752,0.7061
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,259,50,3744.8,69.2,5.18,0.1671,53.993,0.7209
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,261,64,4779.6,54.6,4.078,0.1316,54.078,0.7241
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,20,1535.2,52.1,4.0,0.129,53.522,0.6973
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,60,4478.5,57.6,4.3,0.1387,54.011,0.7236
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,258,48,3594.5,71.8,5.375,0.1734,53.93,0.7202
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,264,50,3735.2,70.7,5.28,0.1703,53.871,0.7211
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",262,74,5499.1,47.6,3.541,0.1142,53.971,0.7263
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",263,69,5153.2,51.0,3.812,0.123,54.157,0.7251
0,6,31,6,b=6 d=6 tt=31,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,260,49,3668.8,70.9,5.306,0.1712,53.993,0.7211
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,25,1929.3,80.9,6.24,0.2013,54.755,0.7095
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,49,3716.1,69.4,5.265,0.1698,54.896,0.7238
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,261,64,4836.8,54.0,4.078,0.1316,54.989,0.7276
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,20,1543.7,51.8,4.0,0.129,54.212,0.7024
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,60,4534.4,56.9,4.3,0.1387,54.937,0.7269
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,257,60,4528.4,56.8,4.283,0.1382,54.789,0.7259
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,264,50,3785.4,69.7,5.28,0.1703,54.808,0.7239
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",258,65,4901.6,52.6,3.969,0.128,54.845,0.7273
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",263,69,5226.2,50.3,3.812,0.123,55.138,0.728
0,6,31,6,b=6 d=6 tt=31,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,260,50,3794.6,68.5,5.2,0.1677,54.962,0.7242
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,22,2402.9,64.9,7.091,0.0865,58.931,0.5396
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,259,44,4721.3,54.9,5.886,0.0718,59.176,0.5515
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,266,60,6420.8,41.4,4.433,0.0541,59.406,0.5551
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,18,1973.1,40.5,4.444,0.0542,58.466,0.5334
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,57,6093.2,42.3,4.526,0.0552,59.294,0.5547
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,258,42,4509.0,57.2,6.143,0.0749,59.129,0.5508
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,265,46,4936.3,53.7,5.761,0.0703,59.204,0.5517
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",263,69,7351.3,35.8,3.812,0.0465,59.225,0.5559
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",258,62,6644.4,38.8,4.161,0.0507,59.51,0.5553
0,16,82,6,b=6 d=16 tt=82,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,264,45,4834.4,54.6,5.867,0.0715,59.305,0.552
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,22,2400.9,65.0,7.091,0.0865,58.784,0.5386
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,260,45,4828.9,53.8,5.778,0.0705,59.168,0.5514
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,266,59,6318.2,42.1,4.508,0.055,59.418,0.5549
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,18,1974.5,40.5,4.444,0.0542,58.49,0.5332
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,57,6094.7,42.3,4.526,0.0552,59.265,0.5543
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,258,42,4511.9,57.2,6.143,0.0749,59.128,0.5504
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,265,46,4933.1,53.7,5.761,0.0703,59.166,0.5517
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",263,68,7249.3,36.3,3.868,0.0472,59.234,0.5556
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",258,62,6651.4,38.8,4.161,0.0507,59.53,0.5549
0,16,82,6,b=6 d=16 tt=82,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,264,45,4836.9,54.6,5.867,0.0715,59.3,0.5517
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,21,2842.3,54.9,7.429,0.0604,62.392,0.461
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,260,43,5713.2,45.5,6.047,0.0492,62.714,0.472
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,267,58,7680.2,34.8,4.603,0.0374,62.915,0.4751
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,I want you act as best book seller and I will ask you questions. You have to giv,80,17,2311.1,34.6,4.706,0.0383,61.947,0.4557
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Authenticating Guest Users for Firebase using laravel,258,56,7407.2,34.8,4.607,0.0375,62.798,0.4748
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,What means if my ALB in AWS returns 408 http error?,259,41,5448.7,47.5,6.317,0.0514,62.652,0.4714
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,Please list the man hours to supply the BSA and 3 companies,265,45,5972.2,44.4,5.889,0.0479,62.704,0.4725
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"How to handle ""enum.IntFlag"" and make it compatible with both python 2 and 3?",263,67,8836.4,29.8,3.925,0.0319,62.788,0.4761
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"As Ao Lie moves to pick up his cup of tea, Macaque notices a bandaged wound on h",258,60,7945.3,32.5,4.3,0.035,62.895,0.475
0,24,123,6,b=6 d=24 tt=123,vanilla,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,can you write a script for youtube video related to hypnosis,265,44,5850.4,45.3,6.023,0.049,62.824,0.4725
0,24,123,6,b=6 d=24 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,"Thanks. Based on this, can you go back to the initial hires again? Which roles d",156,21,2838.0,55.0,7.429,0.0604,62.178,0.4601
0,24,123,6,b=6 d=24 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,is decentralized finance just a group of people coming together and pooling thei,258,41,5438.9,47.4,6.293,0.0512,62.38,0.4702
0,24,123,6,b=6 d=24 tt=123,ragged,meta-llama/Llama-3.1-8B-Instruct,yuhuili/EAGLE3-LLaMA3.1-Instruct-8B,How do I visualize the audio waveform and spectrogram of an audio file using Pyt,267,57,7536.8,35.4,4.684,0.0381,62.65,0.4738
